"Num","words","Type","Concreteness","Emotion","corrAns","size"
1,"nump","trial",NA,NA,"right",4
2,"butter","trial",NA,NA,"left",6
3,"mushroom","trial",NA,NA,"left",8
4,"wumble","trial",NA,NA,"right",6
5,"tade","trial",NA,NA,"left",4
6,"plith","trial",NA,NA,"right",5
7,"meadow","trial",NA,NA,"left",6
8,"blendart","trial",NA,NA,"right",8
9,"land","trial",NA,NA,"left",4
10,"slintor","trial",NA,NA,"right",7
11,"fairy","trial",NA,NA,"left",5
12,"obscure","trial",NA,NA,"left",7
13,"betrayal","trial",NA,NA,"left",8
14,"quitious","trial",NA,NA,"right",8
15,"keen","trial",NA,NA,"left",4
16,"altess","trial",NA,NA,"right",6
17,"woe","Word","Abs","Neg","left",3
18,"sin","Word","Abs","Neg","left",3
19,"bad","Word","Abs","Neg","left",3
20,"liar","Word","Abs","Neg","left",4
21,"fury","Word","Abs","Neg","left",4
22,"evil","Word","Abs","Neg","left",4
23,"hell","Word","Abs","Neg","left",4
24,"fear","Word","Abs","Neg","left",4
25,"risk","Word","Abs","Neg","left",4
26,"manic","Word","Abs","Neg","left",5
27,"curse","Word","Abs","Neg","left",5
28,"agony","Word","Abs","Neg","left",5
29,"cruel","Word","Abs","Neg","left",5
30,"chaos","Word","Abs","Neg","left",5
31,"crazy","Word","Abs","Neg","left",5
32,"wrong","Word","Abs","Neg","left",5
33,"malice","Word","Abs","Neg","left",6
34,"betray","Word","Abs","Neg","left",6
35,"punish","Word","Abs","Neg","left",6
36,"doomed","Word","Abs","Neg","left",6
37,"scared","Word","Abs","Neg","left",6
38,"terror","Word","Abs","Neg","left",6
39,"fierce","Word","Abs","Neg","left",6
40,"suffer","Word","Abs","Neg","left",6
41,"afraid","Word","Abs","Neg","left",6
42,"danger","Word","Abs","Neg","left",6
43,"oppress","Word","Abs","Neg","left",7
44,"deceive","Word","Abs","Neg","left",7
45,"treason","Word","Abs","Neg","left",7
46,"anguish","Word","Abs","Neg","left",7
47,"furious","Word","Abs","Neg","left",7
48,"hostile","Word","Abs","Neg","left",7
49,"painful","Word","Abs","Neg","left",7
50,"anxiety","Word","Abs","Neg","left",7
51,"insanity","Word","Abs","Neg","left",8
52,"paranoid","Word","Abs","Neg","left",8
53,"sinister","Word","Abs","Neg","left",8
54,"shocking","Word","Abs","Neg","left",8
55,"jealousy","Word","Abs","Neg","left",8
56,"disaster","Word","Abs","Neg","left",8
57,"atrocious","Word","Abs","Neg","left",9
58,"psychotic","Word","Abs","Neg","left",9
59,"obscenity","Word","Abs","Neg","left",9
60,"irritating","Word","Abs","Neg","left",10
61,"catastrophe","Word","Abs","Neg","left",11
62,"wee","Word","Abs","Neut","left",3
63,"bid","Word","Abs","Neut","left",3
64,"add","Word","Abs","Neut","left",3
65,"gist","Word","Abs","Neut","left",4
66,"tame","Word","Abs","Neut","left",4
67,"mild","Word","Abs","Neut","left",4
68,"mood","Word","Abs","Neut","left",4
69,"duty","Word","Abs","Neut","left",4
70,"stay","Word","Abs","Neut","left",4
71,"aloof","Word","Abs","Neut","left",5
72,"overt","Word","Abs","Neut","left",5
73,"irony","Word","Abs","Neut","left",5
74,"array","Word","Abs","Neut","left",5
75,"drift","Word","Abs","Neut","left",5
76,"limit","Word","Abs","Neut","left",5
77,"apply","Word","Abs","Neut","left",5
78,"frugal","Word","Abs","Neut","left",6
79,"satire","Word","Abs","Neut","left",6
80,"oblige","Word","Abs","Neut","left",6
81,"rating","Word","Abs","Neut","left",6
82,"custom","Word","Abs","Neut","left",6
83,"casual","Word","Abs","Neut","left",6
84,"subtle","Word","Abs","Neut","left",6
85,"aspect","Word","Abs","Neut","left",6
86,"affect","Word","Abs","Neut","left",6
87,"method","Word","Abs","Neut","left",6
88,"thrifty","Word","Abs","Neut","left",7
89,"prolong","Word","Abs","Neut","left",7
90,"preface","Word","Abs","Neut","left",7
91,"persist","Word","Abs","Neut","left",7
92,"gradual","Word","Abs","Neut","left",7
93,"convert","Word","Abs","Neut","left",7
94,"passive","Word","Abs","Neut","left",7
95,"partial","Word","Abs","Neut","left",7
96,"subtract","Word","Abs","Neut","left",8
97,"classify","Word","Abs","Neut","left",8
98,"perceive","Word","Abs","Neut","left",8
99,"reserved","Word","Abs","Neut","left",8
100,"abstract","Word","Abs","Neut","left",8
101,"describe","Word","Abs","Neut","left",8
102,"deduction","Word","Abs","Neut","left",9
103,"mythology","Word","Abs","Neut","left",9
104,"deviation","Word","Abs","Neut","left",9
105,"conceptual","Word","Abs","Neut","left",10
106,"indifferent","Word","Abs","Neut","left",11
107,"vow","Word","Abs","Pos","left",3
108,"wit","Word","Abs","Pos","left",3
109,"win","Word","Abs","Pos","left",3
110,"cute","Word","Abs","Pos","left",4
111,"cosy","Word","Abs","Pos","left",4
112,"bold","Word","Abs","Pos","left",4
113,"luck","Word","Abs","Pos","left",4
114,"pure","Word","Abs","Pos","left",4
115,"wish","Word","Abs","Pos","left",4
116,"bliss","Word","Abs","Pos","left",5
117,"haven","Word","Abs","Pos","left",5
118,"mercy","Word","Abs","Pos","left",5
119,"bonus","Word","Abs","Pos","left",5
120,"glory","Word","Abs","Pos","left",5
121,"brave","Word","Abs","Pos","left",5
122,"trust","Word","Abs","Pos","left",5
123,"valour","Word","Abs","Pos","left",6
124,"nimble","Word","Abs","Pos","left",6
125,"vigour","Word","Abs","Pos","left",6
126,"admire","Word","Abs","Pos","left",6
127,"worthy","Word","Abs","Pos","left",6
128,"virtue","Word","Abs","Pos","left",6
129,"honest","Word","Abs","Pos","left",6
130,"belief","Word","Abs","Pos","left",6
131,"create","Word","Abs","Pos","left",6
132,"useful","Word","Abs","Pos","left",6
133,"refresh","Word","Abs","Pos","left",7
134,"agility","Word","Abs","Pos","left",7
135,"playful","Word","Abs","Pos","left",7
136,"sublime","Word","Abs","Pos","left",7
137,"gallant","Word","Abs","Pos","left",7
138,"sincere","Word","Abs","Pos","left",7
139,"liberty","Word","Abs","Pos","left",7
140,"courage","Word","Abs","Pos","left",7
141,"graceful","Word","Abs","Pos","left",8
142,"devotion","Word","Abs","Pos","left",8
143,"abundant","Word","Abs","Pos","left",8
144,"fabulous","Word","Abs","Pos","left",8
145,"inspired","Word","Abs","Pos","left",8
146,"advanced","Word","Abs","Pos","left",8
147,"dignified","Word","Abs","Pos","left",9
